name,added_by,note,address,street,city_state_zip,country,latitude,longitude,rating,review_count,website,phone,place_id,categories,timezone
Australian Institute of Sport,Jean-Baptiste Adams,Nice facilities but more of a national training centre so would need to chat up the receptionist or something.,"Australian Institute of Sport, Leverrier St, Bruce ACT 2617, Australia",Leverrier St,Bruce ACT 2617,Australia,-35.2466186,149.1037801,4.4,295,http://www.ausport.gov.au/,+61 2 6214 1111,ChIJdytEFUutF2sReC65bT2yX8w,Sports school,Australia/Sydney
Singapore Weightlifting Federation,Jean-Baptiste Adams,Located in the big hall building. Have to find a way in on one of the sides. Very welcoming. Have to bring cash for drop in unless you have a SG number. Not the best shower facilities but they exist.,"3 Bedok North Street 2, Singapore Weightlifting Federation, Singapore 469643",3 Bedok North Street 2,Singapore 469643,,1.3265749999999998,103.93779699999999,4.8,13,http://www.swf.org.sg/,+65 6747 9330,ChIJVTQyrE8Y2jERLcM3jkMgcj4,Gym,Asia/Singapore
Weightlifting Academy of Tasmania,Jean-Baptiste Adams,Not what it once was but very nice facilities.,"Weightlifting Academy of Tasmania, 110 Mornington Rd, Mornington TAS 7018, Australia",110 Mornington Rd,Mornington TAS 7018,Australia,-42.861427899999995,147.4030833,5,6,http://weightliftingacademy.com.au/,+61 423 767 955,ChIJWRjL8Zt0bqoRT_9OM6JRIvM,"Association / Organization, Club",Australia/Hobart
Kolmar,Jean-Baptiste Adams,Nice training gym but would have to find where it is and ask for access.,"Kolmar Sutton Crescent, Papatoetoe, Auckland 1062, New Zealand",Sutton Crescent,Papatoetoe,Auckland 1062,-36.9724417,174.8616013,4.4,242,http://www.kolmar.org.nz/,+64 9 277 6710,ChIJHx_SKdVNDW0RvhlqqTS7orQ,Sports complex,Pacific/Auckland
Powerhouse Barbell Club,Jean-Baptiste Adams,Best gym in HK,"LG/F, Powerhouse Barbell Club, Silver Fortune Plaza, 1 Wellington St, Central, Hong Kong",LG/F,Silver Fortune Plaza,1 Wellington St,22.2811152,114.15612569999999,5,49,https://www.powerhousebarbellclub.com/,+852 5119 0995,ChIJra8tJmcBBDQRycR-WVBwBM0,Gym,Asia/Hong_Kong
Tidal Weightlifting,Jean-Baptiste Adams,2nd best gym in HK,"Tidal Weightlifting, 7 Glenealy, Central, Hong Kong",7 Glenealy,Central,Hong Kong,22.2794317,114.1548782,4.7,30,https://www.tidal-weightlifting.com/,+852 6795 9922,ChIJjWetaU0BBDQRiW6aE1ubZqg,"Gym, Fitness center, Weightlifting area",Asia/Hong_Kong
gymnase des Deux Canons Paul Jouglas,Jean-Baptiste Adams,Not advertised but there're good training facilities hidden away. Might be able to ask around for access.,"gymnase des Deux Canons Paul Jouglas, 3 Rue du Gymnase, Saint-Denis 97400, Réunion",3 Rue du Gymnase,Saint-Denis 97400,Réunion,-20.8868014,55.477476599999996,3.6,18,,,ChIJozl55HZ_giER1xBSzX-uW6Y,Gym,Indian/Reunion
Herakles,Jean-Baptiste Adams,Old school but very nice weightlifting gym here. Friendly people.,"Herakles, Ratsastie 10, 00280 Helsinki, Finland",Ratsastie 10,00280 Helsinki,Finland,60.198806,24.9103198,5,4,http://herakles.fi/,,ChIJ2-TrivMJkkYRhfxh63RYGF0,Gym,Europe/Helsinki
GymNation Downtown Dubai | Best Gym in Downtown Dubai,Jean-Baptiste Adams,Bars aren't nice but very nice facilities and platforms and bumpers.,GymNation Downtown Dubai | Best Gym in Downtown Dubai - South Heights Tower A - Dubai - United Arab Emirates,South Heights Tower A,Dubai,United Arab Emirates,25.213169999999998,55.272619999999996,4.7,4259,https://gymnation.com/gymsnearme/downtown-dubai/,+971 4 444 4444,ChIJSZXqIDBDXz4RfFIZDzwAHdU,"Gym, Athletic club, Boot camp, Boxing gym, Fitness center, Indoor cycling, Personal trainer, Spa and health club, Sports club, Weightlifting area",Asia/Dubai
Kääriku Spordikeskus,Jean-Baptiste Adams,Excellent weightlifting facilities but probably only for training camps. Maybe us one day?,"Kääriku Spordikeskus, Kääriku, 67309 Valga maakond, Estonia",Kääriku,67309 Valga maakond,Estonia,58.003524299999995,26.3905235,4.8,601,http://www.kaariku.ee/,+372 766 5600,ChIJvbMBMRoO60YRUywb-V-AYU0,"Hotel, Conference center, Gym, Hiking area, Holiday home, Hostel, Recreation center, Sauna, Sports complex, Stadium",Europe/Tallinn
THE GYM FACTORY Marrakech,,There’s a dog there called Snatch,"THE GYM FACTORY Marrakech, شارع الدارالبيضاء، Marrakech, Morocco",شارع الدارالبيضاء,Marrakech,Morocco,31.637265399999997,-8.0149803,4.8,244,,+212 6 65 77 64 77,ChIJX-N5wQ3vrw0RoYF7mo_BLAc,"Gym, Coaching center",Africa/Casablanca
CrossFit Rhein-Neckar,Sara Strong,Something has gone wrong in your travel plans if you’re in Mannheim,"CrossFit Rhein-Neckar, Industriestraße 39, 68169 Mannheim, Germany",Industriestraße 39,68169 Mannheim,Germany,49.513247799999995,8.4700144,4.8,155,https://www.crossfit-rhein-neckar.de/,+49 1573 5992859,ChIJLd_2lM_Nl0cR95PtuLmtENw,"Fitness center, Health consultant, Physical fitness program, Sports complex",Europe/Berlin
PFP,Scott Bebbington,"Not the largest of gyms, three lifting platforms and plenty of equipment","PFP, Oaktree Place, Manaton Cl, Exeter EX2 8WA, United Kingdom",Oaktree Place,Manaton Cl,Exeter EX2 8WA,50.697943699999996,-3.5258152,4.9,47,http://www.pfpgyms.co.uk/,+44 7814 604317,ChIJoyg8RJembUgR-1s73154VP8,Gym,Europe/London
RAGTAG Training,Sara Strong,Friend of a friend trained there,"141 Cecil St, #01-01 RAGTAG Training, Tung Ann Association Building, Singapore 069541",141 Cecil St,#01-01,Tung Ann Association Building,1.2792636,103.8483789,5,13,http://ragtagtraining.com/,,ChIJSa19EbsZ2jERI969MHZ3FLI,Gym,Asia/Singapore
Training Room,Sara Strong,,"Training Room, 45 Triq it-Targa, Naxxar NXR 6613, Malta",45 Triq it-Targa,Naxxar NXR 6613,Malta,35.933788199999995,14.4463264,4.8,86,https://www.trainingroommalta.com/,+356 9946 0084,ChIJeXZSJv9ODhMRbwswk4fxZBU,Gym,Europe/Malta
"Crossfit Arch | Fitness Studio, Hyrox Studio & CrossFit Wien, 1190",Sara Strong,Fucking huge place with loads of weightlifting space. Weightlifting class also available (coached by Klaus Steger),"Crossfit Arch | Fitness Studio, Hyrox Studio & CrossFit Wien, 1190, Heiligenstädter Str. 31, 1190 Wien, Austria",Heiligenstädter Str. 31,1190 Wien,Austria,48.234908999999995,16.355427,4.8,143,http://www.crossfitarch.com/,+43 1 3616800,ChIJwwSdv88HbUcRES4PCI1AC0s,"Gym, Physical fitness program, Yoga studio",Europe/Vienna
Berlin Strength,Scott Bebbington,,"Berlin Strength, Revaler Str. 99/Halle 8.1, 10245 Berlin, Germany",Revaler Str. 99/Halle 8.1,10245 Berlin,Germany,52.507498999999996,13.455393599999999,4.8,231,http://www.berlinstrength.de/,+49 1520 9260619,ChIJW5V71VtOqEcRubO4rbFPAHY,Fitness center,Europe/Berlin
Bambu Fitness Bali,Sam Mahrouche,,"Bambu Fitness Bali, Jl. Pantai Bingin No.8, Bingin, South Kuta, Badung Regency, Bali 80361, Indonesia",Jl. Pantai Bingin No.8,Bingin,South Kuta,-8.8116433,115.114007,4.7,1548,http://www.bambufitnessbali.com/,+62 812-4499-7721,ChIJiWAIKBRF0i0Rb3F0u26TsSY,"Gym, Cafe, Restaurant",Asia/Makassar
Fit On Lanta,Sara Strong,Rusty but better than nothing,"Fit On Lanta, 1037 Moo.2 Ban, Sala Dan, Ko Lanta District, Krabi 81150, Thailand",1037 Moo.2 Ban,"Sala Dan, Ko Lanta District",Krabi 81150,7.6041637,99.0369094,4.9,164,http://www.fitonlanta.com/,+66 92 458 5455,ChIJMSEplp8ETjARAb9nmzbBoA4,Gym,Asia/Bangkok
CrossFit Chiang Mai / CFCNX,Sara Strong,"Really nice facilities including sauna, ice bath, showers","CrossFit Chiang Mai / CFCNX, 47 Chotana Rd, Mueang Chiang Mai District, Chiang Mai 50300, Thailand",47 Chotana Rd,Mueang Chiang Mai District,Chiang Mai 50300,18.8161403,98.98061059999999,4.9,328,http://cfcnxfitness.com/,+66 82 381 4938,ChIJL0kMpPM62jAR6EHwzZTp3uA,Gym,Asia/Bangkok
Raw Iron CrossFit,Sara Strong,Just a CrossFit gym but really big,"Raw Iron CrossFit, 38 Commercial Dr, Ashmore QLD 4214, Australia",38 Commercial Dr,Ashmore QLD 4214,Australia,-27.978279299999997,153.3897931,4.9,85,https://rawiron.com.au/,+61 415 388 722,ChIJLQR-eqsakWsRalKoKMBYzJQ,"Gym, Fitness center, Personal trainer, Sports club",Australia/Brisbane
Manapany,Jean-Baptiste Adams,,"Manapany, ZA des gregues, 7A Rue Jean Cocteau, Saint Joseph 97480, Réunion",ZA des gregues,7A Rue Jean Cocteau,Saint Joseph 97480,-21.3753185,55.601989599999996,4.8,13,,+262 693 91 81 09,ChIJLS9n79cNeCERqxi1wBWaY2E,Fitness center,Indian/Reunion
CrossFit La Fournaise,Jean-Baptiste Adams,,"CrossFit La Fournaise, 14 rue leonel Francoise, L'Étang-Salé 97427, Réunion",14 rue leonel Francoise,L'Étang-Salé 97427,Réunion,-21.2775075,55.3696735,4.8,29,http://www.lafournaisecrossfit.com/,+262 262 18 93 19,ChIJ5SKUU5qjgiER8H1WJcfBlbs,Gym,Indian/Reunion
"Mahavéli Fit SUD, St-Pierre",Jean-Baptiste Adams,,"Mahavéli Fit SUD, St-Pierre, 258 Rue Marius et Ary Leblond, Saint-Pierre 97410, Réunion",258 Rue Marius et Ary Leblond,Saint-Pierre 97410,Réunion,-21.3344184,55.462668,4.9,146,https://www.mahaveli.fr/,+33 1 79 35 19 74,ChIJcT8_Us-ggiERLD1xXxcAQNw,"Fitness center, Gym, Sports complex",Indian/Reunion
Dundee Strength Unit,Jean-Baptiste Adams,,"6, Dundee Strength Unit, Douglas Court, W Henderson's Wynd, Dundee DD1 5BY, United Kingdom","6, Douglas Court",W Henderson's Wynd,Dundee DD1 5BY,56.462211399999994,-2.9858579,4.8,37,http://facebook.com/dundeestrengthunit,+44 7510 599325,ChIJAQBQOcZchkgR7frcYUa-41w,Gym,Europe/London
"Fortitude | Personal Training and Group fitness Gym, Lydney, Forest of Dean",Jean-Baptiste Adams,,"Unit 1-2, Fortitude | Personal Training and Group fitness Gym, Lydney, Forest of Dean, Old Farmer Stores, Church Rd, Lydney GL15 5EB, United Kingdom","Unit 1-2, Old Farmer Stores",Church Rd,Lydney GL15 5EB,51.7225171,-2.5359059999999998,5,81,https://www.fortitudegym.co.uk/,+44 7360 278781,ChIJTac5sbm8cUgRJKm6Qdj1BWg,"Gym, Personal trainer",Europe/London
Altrincham weightlifting club,Jean-Baptiste Adams,,"Altrincham weightlifting club, Unit 1, Blue Chip Business Centre, Atlantic St, Altrincham WA14 4DD, United Kingdom","Unit 1, Blue Chip Business Centre",Atlantic St,Altrincham WA14 4DD,53.3982925,-2.3616683,5,7,http://www.awlc.co.uk/,,ChIJfV6Evgute0gRFRgbwGLUfbg,Fitness center,Europe/London
Clermont Sports Haltérophilie,Jean-Baptiste Adams,,"Clermont Sports Haltérophilie, 70 Rue de la Combe, 34800 Clermont-l'Hérault, France",70 Rue de la Combe,34800 Clermont-l'Hérault,France,43.6326381,3.4301744999999997,4.2,115,,+33 4 67 96 35 87,ChIJY5L-65pdsRIRoJKwSThs1U8,Sports complex,Europe/Paris
OWA Weightlifting,Jean-Baptiste Adams,,"OWA Weightlifting 99B Gillies Avenue, Epsom, Auckland 1023, New Zealand",99B Gillies Avenue,Epsom,Auckland 1023,-36.8741378,174.7727449,,,http://owa.nz/,+64 22 359 7005,ChIJRTQO0tdHDW0RoZzqCUYohDQ,Gym,Pacific/Auckland
Vondelgym Zuid,Laszlo Horvath,,"Vondelgym Zuid, Eduard van Beinumstraat 110, 1077 CZ Amsterdam, Netherlands",Eduard van Beinumstraat 110,1077 CZ Amsterdam,Netherlands,52.3397532,4.8703880999999996,4.2,75,http://www.vondelgym.nl/,+31 20 333 1753,ChIJnX8DkzoLxkcRtmaPvfsX928,"Sports school, Boxing club, Boxing gym, Boxing ring, Fitness center, Gym, Kickboxing school, Personal trainer, Sports club",Europe/Amsterdam
Warriors Functional Fitness Center,Laszlo Horvath,,"Warriors Functional Fitness Center, Yasemin Sk, Lefkoşa 2360, Cyprus",Yasemin Sk,Lefkoşa 2360,Cyprus,35.1997551,33.3600609,5,28,http://www.warriorffc.com/,+90 533 862 51 57,ChIJ-fs1JAAX3hQR15lisnCSVv8,Gym,Asia/Famagusta
POWERCAMP Bordeaux,Jean-Baptiste Adams,,"POWERCAMP Bordeaux, 16 Rue Georges Barres, 33300 Bordeaux, France",16 Rue Georges Barres,33300 Bordeaux,France,44.8890762,-0.5464047,4.9,109,http://powercamp.fr/,+33 7 86 35 80 54,ChIJ7X8ECR8pVQ0RMM3TKTPshv8,"Sports club, Fitness center, Gymnastics club, Osteopath, Weightlifting area",Europe/Paris
Salle de sport Tarbes-fitness-club,Jean-Baptiste Adams,,"Salle de sport Tarbes-fitness-club, 36 Rue Joseph Nelli, 65000 Tarbes, France",36 Rue Joseph Nelli,65000 Tarbes,France,43.239543499999996,0.08139009999999999,4.9,231,https://www.tarbes-fitness-club.fr/,+33 6 41 32 01 89,ChIJSTSRTIrTqRIR_iHVyy6PH5o,Gym,Europe/Paris
Tonic Club Agen,Jean-Baptiste Adams,,"Tonic Club Agen, 1371 Av. du Général Leclerc, 47000 Agen, France",1371 Av. du Général Leclerc,47000 Agen,France,44.1901114,0.6159939999999999,4.9,88,http://crossfitagen.fr/,+33 6 01 79 82 91,ChIJq93bjQGzqxIRAP-f-ZVj1EQ,"Sports club, Club, Gym",Europe/Paris
Sporting Club de Neuilly,Jean-Baptiste Adams,,"Sporting Club de Neuilly, Île du Pont, 92200 Neuilly-sur-Seine, France",Île du Pont,92200 Neuilly-sur-Seine,France,48.8854378,2.2536937,4.5,128,http://www.scneuilly.com/,+33 1 47 47 29 68,ChIJFeYirBNl5kcRTMRWu-IRWmk,"Weightlifting area, Physical fitness program, Sports complex",Europe/Paris
Rueil AC Weightlifting Muscle Toning,Jean-Baptiste Adams,,"Rueil AC Weightlifting Muscle Toning, 34 Rue des Bons Raisins, 92500 Rueil-Malmaison, France",34 Rue des Bons Raisins,92500 Rueil-Malmaison,France,48.872413599999994,2.1934006,4.9,49,http://www.rac-haltero-muscu.com/,+33 1 41 42 13 68,ChIJg3uNUbpk5kcR4pQrYk3D6io,"Gym, Volunteer organization",Europe/Paris
Club Haltérophilie Musculation Weightlifting Club de Cachan.,Jean-Baptiste Adams,,"Club Haltérophilie Musculation Weightlifting Club de Cachan., 25 Av. de l'Europe, 94230 Cachan, France",25 Av. de l'Europe,94230 Cachan,France,48.7847164,2.3250715,4.6,15,http://www.facebook.com/groups/haltero.cachan/,+33 1 41 24 09 12,ChIJzdwGpC9x5kcRirEID_EhbP0,Sports club,Europe/Paris
Barbell Union,Jean-Baptiste Adams,,"Barbell Union, 98 Av. Léon Blum, 38100 Grenoble, France",98 Av. Léon Blum,38100 Grenoble,France,45.162786999999994,5.716279699999999,4.9,228,https://barbellunion.fr/,+33 6 60 70 01 51,ChIJo7l910b1ikcRmCzWmuzpjlA,"Fitness center, Gym, Pilates studio, Sports club, Yoga studio",Europe/Paris
CrossFit Menestys,Jean-Baptiste Adams,,"CrossFit Menestys, Rue Clément Ader, 49000 Angers, France",Rue Clément Ader,49000 Angers,France,47.487092399999995,-0.5455679,5,124,https://www.crossfit-menestys.fr/,+33 7 81 88 06 30,ChIJsZgXVP55CEgRijTDK6ByZ34,"Gym, Fitness center",Europe/Paris
Haltero Monteux,Jean-Baptiste Adams,,"Haltero Monteux, 86 Av. Edouard Grangier, 84170 Monteux, France",86 Av. Edouard Grangier,84170 Monteux,France,44.037402799999995,4.9996002,4.8,18,http://eearhalterophilie.fr/,+33 6 60 11 13 58,ChIJTWfFsb2LtRIRDikOMQ0MQbc,Gym,Europe/Paris
AS Monaco - Club d’Haltérophilie,Jean-Baptiste Adams,,"AS Monaco - Club d’Haltérophilie, 7 Av. des Castelans, 98000, Monaco",7 Av. des Castelans,98000,Monaco,43.7279671,7.4149749,4,4,,,ChIJlaFo-L7DzRIRLvquGwIMuPM,Weightlifting area,Europe/Monaco
Club Haltérophile Luxovien,Jean-Baptiste Adams,,"Club Haltérophile Luxovien, Palais des Sports, 4 Bd Richet, 70300 Luxeuil-les-Bains, France",Palais des Sports,4 Bd Richet,70300 Luxeuil-les-Bains,47.8166614,6.3767286,4.8,23,https://www.instagram.com/ch_luxovien/,,ChIJt9NaTQxWkkcRF_dxs5s9Bt0,"Sports complex, Fitness center, Weightlifting area",Europe/Paris
HALTEROPHILIE CLUB AVALLONNAIS,Jean-Baptiste Adams,,"HALTEROPHILIE CLUB AVALLONNAIS, Av. Victor Hugo, 89200 Avallon, France",Av. Victor Hugo,89200 Avallon,France,47.487295499999995,3.8970659,4.6,53,http://www.hcavallon.com/,+33 3 86 31 60 05,ChIJ2RjfFTwb7kcR3VjXsBjkt60,"Sports club, Gym",Europe/Paris
Cercle Michelet Orléans,Jean-Baptiste Adams,,"Cercle Michelet Orléans, 73 Bd Marie Stuart, 45000 Orléans, France",73 Bd Marie Stuart,45000 Orléans,France,47.9112673,1.931485,4.4,63,https://cmo-club.fr/,+33 2 38 80 51 20,ChIJE9aSrVLj5EcRPFdxoDeef-4,"Gym, Sports club",Europe/Paris
Club Haltérophilie Musculation Vauzelles,Jean-Baptiste Adams,,"Club Haltérophilie Musculation Vauzelles, 36 Rue Marcel Turpin, 58640 Varennes-Vauzelles, France",36 Rue Marcel Turpin,58640 Varennes-Vauzelles,France,47.009763799999995,3.1431961999999998,4.7,3,,+33 6 69 03 01 04,ChIJYYtPl-RF8EcRW0r7NLkEtqM,Volunteer organization,Europe/Paris
The Box by Expression Athlétique,Jean-Baptiste Adams,,"The Box by Expression Athlétique, 36 Rue de Nexon, 87000 Limoges, France",36 Rue de Nexon,87000 Limoges,France,45.819384299999996,1.2637890999999999,5,115,http://www.thebox-limoges.fr/,+33 5 87 08 29 45,ChIJuRL1fEzL_kcRx2AuoKcAwCY,"Fitness center, Coaching service, Coaching center, Gym, Parkour spot, Sports club, Weightlifting area",Europe/Paris
Istres Sport Haltérophilie Musculation Fitness,Jean-Baptiste Adams,,"Istres Sport Haltérophilie Musculation Fitness, Chem. de la Combe aux Fées, 13800 Istres, France",Chem. de la Combe aux Fées,13800 Istres,France,43.500842299999995,4.995976199999999,4.6,24,http://istressporthalterophilie.fr/,,ChIJmw-i_ZIcthIRw3VXbHvsGQ0,Gym,Europe/Paris
The Arena Gym,Jean-Baptiste Adams,,"The Arena Gym, Godfrey Pl, Tralee, Co. Kerry, V92 Y240, Ireland",Godfrey Pl,Tralee,Co. Kerry,52.2676884,-9.7089921,4.8,101,https://linktr.ee/the.arena.gym,+353 66 719 4414,ChIJw4KnZV01RUgRQVlh94Wa6yo,"Gym, Fitness center, Personal trainer",Europe/Dublin
Freedom Weightlifting,Jean-Baptiste Adams,,"Freedom Weightlifting, 1109 Old Okeechobee Rd, West Palm Beach, FL 33401, United States",1109 Old Okeechobee Rd,"West Palm Beach, FL 33401",United States,26.701181499999997,-80.06427529999999,5,25,http://freedomweightlifting.com/,+1 561-358-2679,ChIJ68lsclTX2IgRdNKfKDE7lVQ,Gym,America/New_York
Vero Beach Weightlifting,Jean-Baptiste Adams,,"Vero Beach Weightlifting, 490 Old Dixie Hwy SW Unit 104, Vero Beach, FL 32962, United States",490 Old Dixie Hwy SW Unit 104,"Vero Beach, FL 32962",United States,27.595157999999998,-80.38282749999999,,,http://vbweightlifting.com/,,ChIJYVe5tV5f3ogRKs9hAl-35Cw,Weightlifting area,America/New_York
mettle Weightlifting & Strength Training Club,Jean-Baptiste Adams,,"mettle Weightlifting & Strength Training Club, 6-8 Stevenson Way, Sheffield S9 3WZ, United Kingdom",6-8 Stevenson Way,Sheffield,S9 3WZ,53.3944421,-1.4351694,4.9,21,http://www.mettle.zone/,+44 7734 842452,ChIJk_WjzHaCeUgRVPtzZWcVnVU,Gym,Europe/London
Nova Performance,Jean-Baptiste Adams,,"Unit 9, Nova Performance, Enfield Court, Nuffield Rd, St. Ives PE27 3NJ, United Kingdom","Unit 9, Enfield Court",Nuffield Rd,St. Ives PE27 3NJ,52.337587,-0.06420139999999999,5,45,https://www.nova-performance.co.uk/,+44 7845 718581,ChIJH24sPjHfd0gRKJpHSzOItyc,Gym,Europe/London
Maida Gym,Jean-Baptiste Adams,,"Maida Gym, Queen's Ave, Aldershot GU11 2BT, United Kingdom",Queen's Ave,Aldershot,GU11 2BT,51.255297,-0.7644021,4.5,91,https://www.maidagym.com/,+44 1252 333135,ChIJBQzmKqQsdEgRkqpoRTfdtdU,"Gym, Boxing gym, Fitness center, Indoor cycling, Judo club, Muay Thai boxing gym, Physical fitness program, Weight loss service, Weightlifting area, Women's personal trainer",Europe/London
Diamond Conditioning,Jean-Baptiste Adams,,"Diamond Conditioning, 7 James St, Llandudno LL30 2YD, United Kingdom",7 James St,Llandudno,LL30 2YD,53.3232888,-3.8326949,4.9,15,https://m.facebook.com/diamondconditioning/,,ChIJ2ylFhMIfZUgRxudbVeAKu1E,Gym,Europe/London
Dartford Gym-Europa Weightlifting Club,Jean-Baptiste Adams,,"Dartford Gym-Europa Weightlifting Club, Temple Hill, Dartford DA1 5HX, United Kingdom",Temple Hill,Dartford,DA1 5HX,51.450349599999996,0.2285398,4.7,75,,+44 1322 223220,ChIJP3ugsZix2EcRv252hAFRyWE,"Gym, Dance school, Judo club, Muay Thai boxing gym, Soccer field, Weightlifting area",Europe/London
Brunel Weightlifting Club,Sara Strong,,"Brunel Weightlifting Club, Brunel University, Indoor Athletics Centre, Kingston Ln, Uxbridge UB8 3PH, United Kingdom",Brunel University,Indoor Athletics Centre,Kingston Ln,51.5325,-0.4697222,4.4,75,http://www.brunelweightlifting.com/,+44 1895 267475,ChIJ_0I4UOBtdkgRBomMr-6Ydh0,"Weightlifting area, Sports complex",Europe/London
Bethnal Green Weight Lifting Club,Sara Strong,,"Bethnal Green Weight Lifting Club, 229 Bethnal Grn Rd, London E2 6AB, United Kingdom",229 Bethnal Grn Rd,London,E2 6AB,51.5263748,-0.06794739999999999,4.8,97,https://bgwlc.co.uk/,,ChIJY1M8M8YcdkgROzRPJu0Rgjk,Weightlifting area,Europe/London
THE LIONS DEN,Sara Strong,Most convenient option in Singapore,"36 Robinson Rd, B1-02 THE LIONS DEN, City House, Singapore 068877",36 Robinson Rd,B1-02,City House,1.2813463,103.8499435,5,35,http://thelionsden.fitness/,+65 8874 2981,ChIJq1RE3bcZ2jER30wF87WEr8s,Gym,Asia/Singapore
Stronger Together Cape Town,Sara Strong,,"Stronger Together Cape Town, 35 Sussex St, Woodstock, Cape Town, 7925, South Africa",35 Sussex St,"Woodstock, Cape Town",7925,-33.9283478,18.446654499999998,5,24,https://www.strongertogethercapetown.org/,+27 71 184 3067,ChIJjeBnql1dzB0RBIPBMdgQZJg,Fitness center,Africa/Johannesburg
Dutch Strength,Sara Strong,"Ran by volunteers, always happy to help. Very responsive, offers OG","Dutch Strength, Hobbemakade 7, 1071 XK Amsterdam, Netherlands",Hobbemakade 7,1071 XK Amsterdam,Netherlands,52.3583479,4.8862191,5,35,https://www.dutchstrength.com/,,ChIJsdIheu4JxkcRvmXsMSU2SeE,Gym,Europe/Amsterdam
